condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
ordinary,scenario1,186,,,,,,,,0.9302325581395349,1003.6744186046511,0.8571428571428571,2111.0714285714284,0.7021276595744681,1061.0,1.0,1902.2,0.813953488372093,968.9767441860465,1.0,2522.25,0.8888888888888888,1043.2888888888888,0.7857142857142857,2450.9285714285716,0.825,989.85,0.8,2634.133333333333
flouting,scenario1,187,,,,,,,,0.717948717948718,1155.1025641025642,0.7777777777777778,2497.6296296296296,0.7333333333333333,1154.3333333333333,0.55,2538.65,0.625,1063.05,0.5294117647058824,2169.8823529411766,0.375,1109.7291666666667,0.13043478260869565,2506.7391304347825,0.18421052631578946,1063.0263157894738,0.2,2344.15
flouting,scenario1,188,,,,,,,,0.6923076923076923,1112.6153846153845,0.4230769230769231,2645.1153846153848,0.391304347826087,1182.3695652173913,0.34782608695652173,2076.478260869565,0.2,1027.525,0.11764705882352941,2254.529411764706,0.1276595744680851,1144.0212765957447,0.058823529411764705,2395.8823529411766,0.1951219512195122,1034.9024390243903,0.0,1843.4
impossible,scenario1,189,,,,,,,,0.825,1031.75,0.6896551724137931,2421.137931034483,0.6304347826086957,1137.2391304347825,0.42105263157894735,2355.2631578947367,0.575,1022.55,0.3157894736842105,2151.9473684210525,0.6222222222222222,1079.1555555555556,0.10526315789473684,2914.9473684210525,0.5384615384615384,1049.025641025641,0.125,2221.0833333333335
impossible,scenario1,190,,,,,,,,0.047619047619047616,1058.3095238095239,0.0,2345.6666666666665,0.041666666666666664,980.7916666666666,0.0,2525.909090909091,0.021739130434782608,949.2608695652174,0.0,2285.0,0.05,908.525,0.0,2652.909090909091,0.022727272727272728,1023.5227272727273,0.0,2675.5
flouting,scenario1,191,,,,,,,,0.4090909090909091,1163.5681818181818,0.5625,3154.375,0.3333333333333333,1075.7333333333333,0.4,2755.866666666667,0.09523809523809523,1063.595238095238,0.26666666666666666,2355.4,0.0,988.9130434782609,0.0,3171.090909090909,0.047619047619047616,965.047619047619,0.08333333333333333,2947.4166666666665
immoral,scenario1,192,,,,,,,,0.29545454545454547,1039.25,0.21052631578947367,2438.0526315789475,0.17777777777777778,1056.4666666666667,0.1111111111111111,2432.3333333333335,0.13953488372093023,1004.6511627906976,0.08333333333333333,2061.5,0.0,960.2727272727273,0.0,2184.714285714286,0.022727272727272728,946.5681818181819,0.0,1747.0
immoral,scenario4,193,,,,,,,,0.21052631578947367,1154.921052631579,0.15384615384615385,2419.6923076923076,0.09302325581395349,1081.5581395348838,0.16666666666666666,2451.777777777778,0.08695652173913043,1022.9782608695652,0.0,3003.3333333333335,0.023255813953488372,919.9767441860465,0.0,2232.0,0.046511627906976744,937.2558139534884,0.0,2907.5714285714284
ordinary,scenario4,194,,,,,,,,0.8536585365853658,1061.2682926829268,0.9565217391304348,2431.217391304348,0.8863636363636364,1109.659090909091,1.0,2084.0,0.75,1020.3409090909091,0.9,1699.3,0.7435897435897436,1010.8717948717949,1.0,2020.611111111111,0.813953488372093,1024.2790697674418,0.9,2432.9
ordinary,scenario4,195,,,,,,,,0.925,1003.025,1.0,2311.4,0.8444444444444444,993.4888888888889,0.9166666666666666,2846.75,0.8571428571428571,954.1224489795918,1.0,2050.6666666666665,0.8571428571428571,974.9761904761905,0.9333333333333333,2177.0666666666666,0.8837209302325582,964.0930232558139,0.9,1937.1
